epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
109,495.462,1.9776,1.84739,2.04624,0.59703,0.54492,0.60294,0.27503,1.82833,1.51323,1.95695,0.006436,0.006436,0.006436
110,499.978,2.01243,1.83626,2.05122,0.598,0.57812,0.60539,0.27383,1.83682,1.55727,1.93845,0.006403,0.006403,0.006403
111,504.486,2.01624,1.8693,2.07142,0.56996,0.54102,0.57229,0.25087,1.86936,1.61602,1.973,0.00637,0.00637,0.00637
112,508.998,1.98653,1.86868,2.07026,0.58089,0.58743,0.61199,0.28514,1.81707,1.52234,1.9398,0.006337,0.006337,0.006337
113,513.513,2.01565,1.84577,2.05126,0.60002,0.59184,0.62212,0.28278,1.80787,1.49369,1.92959,0.006304,0.006304,0.006304
114,518.024,2.00504,1.84578,2.04153,0.5978,0.55664,0.59184,0.26619,1.84941,1.50752,1.99241,0.006271,0.006271,0.006271
115,522.526,1.9993,1.88946,2.05973,0.55936,0.55664,0.58645,0.2567,1.86319,1.59887,1.95822,0.006238,0.006238,0.006238
116,527.028,1.99782,1.85949,2.04831,0.56891,0.51808,0.57832,0.26348,1.88745,1.55896,1.98076,0.006205,0.006205,0.006205
117,531.536,1.97281,1.80338,2.02983,0.56383,0.55664,0.58684,0.27027,1.8191,1.55158,1.92274,0.006172,0.006172,0.006172
118,536.036,1.95067,1.86864,2.00442,0.57274,0.50792,0.56899,0.2588,1.82236,1.58476,1.96469,0.006139,0.006139,0.006139
119,540.526,1.99764,1.79758,2.03075,0.59028,0.59654,0.63655,0.29046,1.84063,1.48237,1.94039,0.006106,0.006106,0.006106
120,545.04,1.96356,1.78714,2.03903,0.55466,0.57031,0.58831,0.27221,1.82938,1.5063,1.99165,0.006073,0.006073,0.006073
121,549.55,1.93922,1.77515,2.01304,0.60396,0.57617,0.63121,0.29753,1.79411,1.48004,1.93036,0.00604,0.00604,0.00604
122,554.071,1.9731,1.80558,2.02707,0.63431,0.60547,0.65263,0.30163,1.80435,1.45505,1.9119,0.006007,0.006007,0.006007
123,558.596,1.99643,1.79909,2.06163,0.5975,0.59961,0.62911,0.29474,1.78415,1.47797,1.9475,0.005974,0.005974,0.005974
124,563.109,1.95134,1.79655,1.98294,0.5699,0.63672,0.63274,0.29025,1.81206,1.46618,1.92715,0.005941,0.005941,0.005941
125,567.747,1.95131,1.80718,1.97967,0.59205,0.60352,0.63531,0.28981,1.8091,1.49005,1.92219,0.005908,0.005908,0.005908
126,572.317,1.91385,1.80648,1.99939,0.62219,0.58594,0.64005,0.30624,1.78743,1.43567,1.8996,0.005875,0.005875,0.005875
127,576.884,1.95755,1.75367,1.99741,0.65245,0.56098,0.65828,0.29792,1.8233,1.45171,1.92588,0.005842,0.005842,0.005842
128,581.583,1.96852,1.81983,2.0383,0.60975,0.60742,0.64659,0.30671,1.74644,1.44851,1.88005,0.005809,0.005809,0.005809
129,586.194,1.96352,1.78354,2.00469,0.59618,0.5918,0.63698,0.30351,1.78864,1.41709,1.89856,0.005776,0.005776,0.005776
130,590.722,1.93739,1.79281,2.02191,0.67181,0.59375,0.67442,0.32456,1.72394,1.40215,1.87089,0.005743,0.005743,0.005743
131,595.276,1.92449,1.78383,2.0066,0.60109,0.61523,0.64997,0.30294,1.761,1.47892,1.88848,0.00571,0.00571,0.00571
132,599.865,1.95815,1.78613,2.0119,0.64191,0.58398,0.67159,0.30933,1.78307,1.43479,1.89623,0.005677,0.005677,0.005677
133,604.43,1.94462,1.7282,1.9909,0.61121,0.62891,0.66705,0.31736,1.75217,1.40791,1.88707,0.005644,0.005644,0.005644
134,608.975,1.93858,1.7523,2.00308,0.64231,0.62695,0.67809,0.31987,1.78258,1.42649,1.90425,0.005611,0.005611,0.005611
135,613.553,1.93998,1.7577,2.00582,0.65647,0.60547,0.66183,0.2989,1.82158,1.42167,1.94824,0.005578,0.005578,0.005578
136,618.093,1.91641,1.77878,1.98646,0.63458,0.625,0.65524,0.28648,1.84407,1.4743,1.93813,0.005545,0.005545,0.005545
137,622.607,1.90402,1.7329,1.97782,0.62174,0.60742,0.64824,0.31367,1.73111,1.4099,1.86887,0.005512,0.005512,0.005512
138,627.15,1.938,1.74434,1.99733,0.64128,0.60753,0.66996,0.31633,1.76515,1.4051,1.88641,0.005479,0.005479,0.005479
139,631.733,1.91516,1.75589,1.98506,0.63746,0.58203,0.6498,0.30794,1.7473,1.41535,1.87782,0.005446,0.005446,0.005446
140,636.245,1.92822,1.76122,2.0064,0.59799,0.61328,0.65503,0.3006,1.77919,1.46061,1.89194,0.005413,0.005413,0.005413
141,640.786,1.92102,1.74213,1.98485,0.60713,0.62109,0.65541,0.31661,1.73844,1.37991,1.87398,0.00538,0.00538,0.00538
